proteins	coph	avg_shufcophs	coph_enrichment	t_coph	p_coph	SNR	avg_shufSNRs	SNR_enrichment	t_snr	p_snr
['THRA', 'NCOA2', 'THRB', 'MED1', 'NCOA1', 'EP300', 'RXRA']	536.3645605524819	1512.6712429410188	0.3545810519340953	39.45302953089617	1.1521803595976778e-62	3.1471208060076914	1.0001792709457122	3.1465567198087943	-129.7276042263791	1.1773008341060354e-112
['LIN54', 'MYBL2', 'E2F4', 'TFDP2', 'E2F5']	1432.01811035766	1519.8522391116705	0.942208771028065	2.939374727581413	0.0020465247583251194	3.133412343726331	1.010085145611977	3.1021269418113264	-98.43580761137527	7.037436689475683e-101
['MAFG', 'DNMT3B', 'NFE2L1', 'NFE2']	1671.7487908528892	1514.5503356592512	1.1037921629228737	-4.760346974337115	0.9999966979854664	3.1235706516785418	0.9738447038177662	3.2074627909698523	-99.61348968880272	2.1934893578673066e-101
['FOXP1', 'MTA1', 'FOXP4']	1593.5073163817985	1559.9679329001128	1.0215000467473285	-0.7386507214660882	0.7690666564541118	3.0500103827043783	0.9732949584809796	3.1336958607743393	-67.19548847430828	1.0414153006242683e-84
['TFDP2', 'E2F2', 'LIN54', 'E2F4', 'E2F5', 'E2F1', 'TFDP1']	1367.0975479763752	1551.8703503325198	0.8809354129895237	8.619187456858159	5.558603404180858e-14	2.9940052002572672	0.9916548858415127	3.0192007753953347	-117.21168821394552	2.5409092214869094e-108
['MYBL2', 'LIN54']	151.15640137388436	1517.230268812894	0.09962653954442367	18.10974414727295	1.7283171583405365e-33	2.9848340629486416	1.049037792373814	2.8453065129278263	-38.667770209386596	7.477465999661574e-62
['KMT2B', 'KMT2A']	69.02762236327065	1520.0786086402038	0.045410560987381936	19.693772701033243	2.560866605802848e-36	2.965878806563822	1.0152212384643133	2.921411308386529	-33.79476614464529	1.821464912681026e-56
['TEAD1', 'TCF7', 'TEAD4', 'TEAD2', 'TCF7L2']	1196.2981734697066	1522.5152375054313	0.7857380629108082	10.632914367507011	2.286817354482446e-18	2.9491970920674686	0.9877802397144657	2.985681403102357	-92.51274453468858	3.070357119626548e-98
['TEAD2', 'TEAD1', 'TCF7', 'TEAD4', 'TCF7L2']	1196.2981734697064	1522.5152375054315	0.7857380629108079	10.632914367507027	2.2868173544822658e-18	2.9491970920674686	0.9877802397144657	2.985681403102357	-92.51274453468861	3.070357119626548e-98
['MEIS2', 'PBX2', 'PBX3', 'MEIS1']	1434.2025715266984	1515.6832214732117	0.9462416362521214	2.148789649658255	0.017044742307928677	2.7819338162141585	0.960539773430595	2.896219285411163	-83.73503962990559	5.244365119161163e-94
['TEAD4', 'TCF7', 'TEAD2', 'TCF7L2', 'SMAD3', 'EP300', 'TEAD1']	1370.0459358291473	1511.1290654625375	0.9066372735076693	5.635666473997444	8.224055368489118e-08	2.694619960666201	0.994462602786782	2.709624226305815	-100.59673708589195	8.37370840988771e-102
['ATF3', 'FOSL1', 'JUN', 'ATF4', 'SMAD3', 'HDAC1', 'JUND', 'TP53']	1492.02279069454	1493.4880374541558	0.9990189096110113	0.07220421046443322	0.47129253322886844	2.646354891410158	1.0003572088015442	2.6454099277002907	-114.37379420619838	2.8257565923116044e-107
['E2F2', 'E2F1', 'TFDP2', 'TFDP1']	650.00677166097	1555.2128484395728	0.41795357613792616	26.57557323136012	3.7149714213246815e-47	2.644615746139324	0.9755737148934526	2.710831283957006	-70.98641512603778	5.07542862033997e-87
['NCOA2', 'HNF4A', 'RXRB', 'RARA', 'BRCA1', 'THRA', 'THRB', 'PPARG', 'NCOA1', 'NR1H2', 'EP300', 'NR5A1', 'RXRA']	1044.81443992413	1507.585817268039	0.6930381195927429	27.342722450556305	3.10226242198452e-48	2.611281675230494	0.9945067443804756	2.625705345876948	-166.18629354881756	2.9570003043938782e-123
['HNF1A', 'EP300', 'HNF1B']	1754.2521595595924	1476.8011469299067	1.1878729666526013	-5.4848939622582815	0.9999998412025911	2.595125109153104	1.00070408642618	2.5932992023856807	-49.610052026182345	4.843172185705825e-72
['KDM6A', 'SIX4', 'PAXIP1', 'GATA4']	602.9296854755739	1524.6219876989924	0.39546175402175227	25.864890209352087	3.891347277619741e-46	2.524964369404101	1.0189820939915912	2.4779281052066624	-63.72062635279961	1.7761016085957765e-82
['MLX', 'MLXIP']	1207.686981646559	1595.003797107105	0.7571687188688633	5.091827959082984	8.469006151981357e-07	2.517303642288351	0.9694501600666957	2.5966302817621556	-28.871185440452056	2.577128065619366e-50
['MLXIP', 'MLX']	1207.686981646559	1595.003797107105	0.7571687188688633	5.091827959082984	8.469006151981357e-07	2.517303642288351	0.9694501600666957	2.5966302817621556	-28.871185440452056	2.577128065619366e-50
['TCF7L2', 'TCF7', 'HDAC1', 'TEAD4', 'TEAD2', 'EP300', 'TEAD1']	1229.0139331172702	1516.64561768951	0.8103501034009356	11.80828249278295	6.6004090892967915e-21	2.5016638292035887	0.9921462633673213	2.521466765104774	-104.56209110501979	1.8880823656003264e-103
['HMG20A', 'HMG20B', 'PHF21A', 'HDAC2']	600.6522322919956	1499.0659645299966	0.40068432377511726	26.370281334283604	7.286380989223283e-47	2.4598981685359105	1.0077579437318467	2.44096132790243	-59.209535496554366	2.1204587356680118e-79
['HNF1B', 'HNF1A']	2289.425738652365	1508.3918461975818	1.517792438631677	-9.862757591476576	0.9999999999999999	2.3965652396243002	0.9733201084645934	2.4622580164349706	-27.010267496945612	9.038434291429944e-48
['SKIL', 'SMAD4', 'SMAD3']	1754.2521595595924	1505.6966794374148	1.1650767272828464	-5.142307987121053	0.9999993145105197	2.383322433193863	1.0917157161073636	2.183098033700449	-23.627956740631433	8.749253908014649e-43
['RARG', 'RXRB', 'RARA', 'RXRA']	1398.7569602227852	1539.435217653817	0.9086169682116061	3.8942133319856613	8.949845180762112e-05	2.325914558551954	0.985375387157075	2.3604350066653215	-54.64860807976515	4.693197045837359e-76
['HMG20B', 'PHF21A', 'HDAC2', 'ZNF217', 'RCOR2', 'KDM1A', 'HMG20A', 'HDAC1']	953.1582612512119	1507.92746740233	0.6320982155018334	29.316119163685332	6.633922652992618e-51	2.3012868326154567	0.9943538802046347	2.3143539522789007	-85.77583141362894	4.9925026440287354e-95
['RXRA', 'RXRB', 'RARA', 'NCOA2', 'THRA', 'THRB', 'RARG', 'PPARG', 'MED1', 'NCOA1', 'NR1H2', 'EP300', 'PAX8']	1225.9275993429035	1518.7454239509577	0.8071975592549935	20.20301976996621	3.367408521998164e-37	2.2838697256794744	0.9903292713129568	2.306172090270108	-138.22744664975943	2.275640898097672e-115
['ZMYM2', 'KDM1A', 'HDAC1', 'HDAC2', 'ZMYM3']	774.0988370837495	1492.4161823411007	0.5186883164650814	21.411700530608215	3.0892717112987494e-39	2.232246948414276	0.9805150197159747	2.2766065827945092	-65.70900223854615	9.089658249704531e-84
['RERE', 'EP300', 'HDAC1', 'HDAC2']	1007.3607791259357	1512.8876075428357	0.6658530178339196	14.325999168674617	3.5527545128273685e-26	2.201478580669442	0.9871847344689614	2.2300573578598626	-56.448492091092284	2.0946850665665968e-77
['HNF4A', 'JUN', 'NCOA1', 'SMAD4', 'FOXO1', 'NCOA2', 'MED1', 'SMAD3', 'EP300', 'NR0B2']	1180.722629857823	1487.1938163039986	0.7939265325834777	15.643379439636018	8.24401676162927e-29	2.169202183394321	1.0092557109000664	2.1493088024835654	-87.40627995506703	7.928174086514043e-96
['RFXANK', 'CREB1', 'RFXAP']	1629.9051316103225	1603.9470711936333	1.0161838634721105	-0.5980585126518911	0.7244166911379999	2.114208153203571	1.0097418143732302	2.0938106386293494	-25.156134879785245	4.250998920331465e-45
['RFXAP', 'CREB1', 'RFXANK']	1629.9051316103225	1603.9470711936335	1.0161838634721103	-0.5980585126518858	0.7244166911379981	2.114208153203571	1.0097418143732302	2.0938106386293494	-25.15613487978525	4.2509989203313445e-45
['PHF8', 'KMT2A']	2289.425738652365	1553.1456480592765	1.474057337451322	-9.40765768481384	0.9999999999999989	2.111514348942815	1.0494626105889138	2.011995784926462	-20.97398021265089	1.656089341794129e-38
['NCOA1', 'HNF4A', 'RXRB', 'RARA', 'NCOA2', 'STAT6', 'THRA', 'THRB', 'PPARG', 'SP1', 'NR1H2', 'EP300', 'JUN', 'TP53', 'RXRA']	1259.922546404786	1493.7146147652206	0.8434827737176679	16.185751015669705	7.221162996012575e-30	2.0834022654814928	1.0005720049758091	2.082211230297077	-124.07725770323498	9.418380368600127e-111
['TFDP1', 'TFDP2', 'E2F2', 'E2F4', 'E2F5', 'MGA', 'E2F1', 'MAX', 'TP53']	1195.5614256959238	1523.99589358232	0.7844912382838678	16.483265703018148	1.9290645683313908e-30	2.056640011548103	0.977582176885147	2.103802688077988	-81.42749726126281	8.01943583002747e-93
['ZC3H13', 'MED13', 'MED1', 'MED8']	923.3175726525606	1451.5986424329437	0.6360694655273577	12.636768495961277	1.1366946250743042e-22	2.0510415744088695	1.0068642254772815	2.0370587438804066	-41.620041539366916	7.798535604066469e-65
['MED13', 'ZC3H13', 'MED1', 'MED8']	923.3175726525607	1451.5986424329437	0.6360694655273578	12.636768495961272	1.1366946250743366e-22	2.0510415744088695	1.0068642254772815	2.0370587438804066	-41.620041539366916	7.798535604066469e-65
['SNAPC5', 'TBP', 'SNAPC4', 'SNAPC2']	1585.693966508218	1504.6828260666489	1.0538393467634226	-2.1585459616261367	0.9833486753299391	2.0440840285969646	1.0013913049925807	2.041244035579188	-47.85702213245	1.481124221344403e-70
['SNAPC2', 'SNAPC5', 'TBP', 'SNAPC4']	1585.693966508218	1504.6828260666489	1.0538393467634226	-2.158545961626136	0.9833486753299391	2.0440840285969646	1.0013913049925807	2.041244035579188	-47.85702213245	1.481124221344403e-70
['NR5A1', 'NCOA2', 'SRY', 'GATA4']	1475.8022331288782	1490.6258084677393	0.9900554684786395	0.3832572890229863	0.3511753730537681	2.01092773585379	0.9873750175152703	2.0366402837640054	-41.640674492468264	7.4446413976330715e-65
['NR1H2', 'RXRB', 'NCOA2', 'MED1', 'NCOA1', 'RXRA']	1053.6235149488734	1522.192724689567	0.6921748461015325	17.254229034249523	6.645448541636745e-32	1.9717974679462469	0.9775883668586443	2.01700177169903	-55.37370837013078	1.3259251448008356e-76
['SSRP1', 'AFF4', 'ZC3H8']	581.0471290728836	1452.3272710309445	0.4000800237403952	18.283623309205428	8.32555707210971e-34	1.9435461721328873	1.0434874378556187	1.8625487012348725	-24.661035436145962	2.3262802202906745e-44
['PHF21A', 'HDAC2', 'ZNF217', 'HMG20B', 'HMG20A', 'KDM1A', 'HDAC1']	990.9930805929355	1502.7266082805615	0.6594633216263084	25.681162819542955	7.198395995179898e-46	1.9433167610602864	0.9930566782180786	1.9569041764537909	-58.36828439689742	8.408581160018281e-79
['ATF4', 'CEBPG', 'ATF2', 'ATF1', 'ATF3', 'CREB1', 'EP300', 'JUN', 'CREB3']	1520.248690080186	1532.1019160434912	0.9922634220092126	0.6012040405738232	0.2745391079443365	1.9300094974237791	0.9905984777351962	1.948326734598217	-75.64399751038424	1.0523354971064447e-89
['RXRB', 'RARA', 'NCOA2', 'RARG', 'PPARG', 'NR1H2', 'NCOA1', 'PAX8', 'RXRA']	1453.889675400618	1522.9390344452809	0.9546604575213258	3.6178695904368947	0.00023490202539109187	1.8344893742464952	0.9813834555445766	1.869289077457011	-73.18399373615608	2.6236229820654765e-88
['E2F5', 'TFDP2', 'LIN54', 'E2F4', 'SMAD3', 'HDAC1', 'SMAD4', 'TFDP1']	1586.1334557472892	1536.7388683702368	1.0321424728649162	-2.6362449962999603	0.9951333106216352	1.793687488019188	0.9837332924662685	1.8233473460294547	-61.761076818707075	3.6290026266916325e-81
['MTA1', 'HDAC2', 'GATAD2B', 'GATAD2A', 'KDM1A', 'HDAC1', 'FOXP1']	1395.5103717191257	1488.3914775403186	0.9375963197701951	3.641271455742543	0.00021685721142941772	1.7746809009290945	1.0168094550415612	1.7453426422520393	-52.39164915709861	2.6596968308100175e-74
['ZNF217', 'PHF21A', 'HDAC2', 'HMG20B', 'KDM1A', 'HDAC1']	1011.9284237692522	1490.0861701790914	0.6791073187717929	18.34578060756652	6.418296422209043e-34	1.7701766397448644	0.9832983041065678	1.8002437636188746	-38.75996262947406	5.993051403211587e-62
