protein,average_distance_to_tss
ZNF629,103305.10745785419
ZUFSP,59851.98591549296
PLSCR1,41124.423558897244
FBXL19,56314.77135151334
ZNF281,106137.01121135149
SP4,43784.393426294824
CEBPD,110899.73220338982
FOXO4,49837.54812257229
CHD4,73626.5783839779
ATF2,448928.445799031
ZNF490,185695.86534047438
NRL,43318.2298673842
FOXA2,219923.30094701078
HNF4G,110086.75134295515
ZBTB14,63633.687831811425
MAZ,49571.71937679083
ZNF460,51767.70385893915
EP300,128324.16536252205
SATB2,62412.762470308786
ZHX3,57264.534415584414
ZNF256,46978.02245789146
FLYWCH1,48052.48698884758
PAXIP1,117408.18810276022
ZNF225,44728.48079074972
NR2C2,73947.27479882681
DNMT3B,67139.99245283019
JRK,61287.15817469205
EGR1,69513.12504828651
HOXD1,71481.36472785486
PAF1,22735.009940357853
SYNCRIP,612241.6666666666
ZBTB38,47910.92269895587
HMGXB3,62528.4685584563
ZNF181,49518.30458970793
ZNF333,38488.119146722165
ETV5,80886.91304347826
ZMYM4,113806.46880896881
ZNF576,79129.25908667289
KLF6,52958.237655016914
NFE2,131129.49184149184
ZSCAN25,58361.4720866382
WIZ,92250.9739897817
MLLT10,26612.73354231975
ZNF747,43046.51685393258
NFIC,151857.08736700134
ZNF138,32601.037789058093
ZNF83,41110.78125
ZNF513,29822.46285714286
SPEN,49237.15845000986
PHF8,52605.588953114966
IKZF1,509136.2
HOXA9,45783.9586945436
ATF5,36056.14946619217
ZNF414,53794.42175150174
DLX6,106142.07835302294
ARNTL,65658.12071309866
HNRNPH1,86201.63866763216
LCOR,105148.26348840189
ZFP91,58724.791075327514
ZNF234,38202.085494716615
MTERF2,41819.55322763307
RAD21,199606.6489963458
ZNF609,107190.10945524117
ONECUT1,182022.7297026813
ZNF251,46998.8813559322
EEA1,35123.36879432624
MAFG,120525.9281663516
MATR3,26803.79245283019
ZNF160,103262.66517086641
GABPA,94761.30226993468
DMAP1,46330.89100195609
CREM,96223.95898424943
PHF20,43987.620249835636
MEF2A,108127.61724301279
CENPBD1,42702.93396226415
ZNF827,35872.265642151484
ZNF709,47925.621870882744
HMGXB4,56542.39024390244
PRPF4,105793.1326923077
ZNF740,57469.64073973348
ZNF597,25675.1976284585
NFYB,82421.2245614035
RARG,54040.64559819413
ZNF318,42293.03732503888
ZNF567,36302.16478873239
NCOA1,56772.78798241329
SIN3A,36251.99169560622
SOX18,35735.91605839416
ZSCAN22,65899.60864553314
SMAD9,38554.93285371703
ZNF878,70763.24283305228
ZNF571,33694.813953488374
ZMYM3,69318.87383080441
ZNF883,39034.93169469599
MXD3,40288.74301155423
ZSCAN29,62044.34174376226
RNF219,49169.52806850619
ZNF800,88693.69613259668
SOX13,135460.71717995784
H3K4me3,43495.87101723982
DPF2,115344.59294871795
TEF,104604.97368421052
ZNF816,61646.64016424039
ZNF865,126084.7446462456
ZBED5,68838.29704397981
TP53,102279.59963436928
ZNF781,46283.596792668955
CBX1,64791.98397626113
ZNF329,62252.74559436078
ZNF556,58633.18819266837
ZSCAN5A,74102.57853757616
ZNF20,67272.70229007634
TCF7,154234.5293553798
TERF1,65694.24605678233
SNRNP70,233522.0987654321
ZFAT,64171.6771964462
ZMAT3,46878.34211721944
SKIL,74031.6311713456
GTF3A,43656.28966986155
ZNF614,82927.59639749657
ZBTB34,80268.79969879518
ZNF697,55499.90768112431
ZNF3,93405.30903790088
FOXK1,90451.04640203009
SNAI1,38686.29477020602
ZNF205,77945.9400349311
RBAK,117736.36258913878
TARDBP,86754.97688039458
ZNF276,50006.39296956978
NR2F1,114477.88340241485
CREB3,50632.895966029726
KLF12,42008.6295228107
ZNF260,64600.8303030303
PHF21A,74175.27174073528
HSF1,72113.82717678101
KMT2A,41661.9728979376
SOX5,129920.60635964913
ZNF674,31805.9203187251
TBX2,79628.95354155383
FOXM1,50733.918103448275
ZNF607,44517.71141215107
PAX8,37417.008438818564
ZBTB42,55169.71746575343
HNF1A,110593.18223123733
FOSL2,125005.02754024886
H3K27ac,63120.66189624329
TOE1,275968.0363636364
HOXA7,61364.89207048458
ZBTB3,53865.44008834898
BHLHA15,41098.06024096385
RFX1,130201.94748358862
SKI,93426.06926197837
MZF1,39786.75945017182
ZNF383,39011.61057692308
SRSF9,644934.1381578947
ESRRA,72176.87686996548
PBX3,54472.147169811324
SMAD7,49709.9533315706
TGIF2,57883.5460385439
TFDP2,55535.54270426014
ZNF142,54462.3165884626
ZNF569,33779.93778801843
PAWR,32914.86343612335
BRD4,47120.54988962472
ARID4B,55130.97010594196
ZNF33A,55753.73414634146
ARID3A,114913.48108565278
HBP1,51928.228876659115
ZNF784,46208.33276450512
RXRA,87425.84425481672
ZNF707,124943.4485006519
HINFP,49899.818681318684
THAP8,39182.207792207795
ZNF792,75526.94432245923
